athlete;gender;timestamp;distance (m);elapsed time (s);elevation gain (m);average heart rate (bpm)
36259004;M;08/12/2019 07:12;5354.6;2793;142.0;133.6
36259004;M;01/12/2019 07:20;5864.1;2890;152.2;145.6
36259004;M;26/11/2019 17:49;2971.8;1102;16.2;154.9
36259004;M;21/11/2019 17:59;4818.8;1946;3.4;147.4
36259004;M;17/11/2019 08:15;6434.7;2627;21.8;155.3
36259004;M;11/11/2019 14:31;223.6;104;0.0;126.9
36259004;M;10/11/2019 14:06;13217.7;5258;753.7;161.5
36259004;M;05/11/2019 11:09;10842.5;3361;60.1;153.9
36259004;M;02/11/2019 10:19;4361.1;2175;111.0;136.7
36259004;M;01/11/2019 13:54;11462.6;3933;35.2;149.5
36259004;M;29/10/2019 11:15;11567.2;3578;50.0;159.3
36259004;M;23/10/2019 16:53;6067.9;1781;52.1;151.7
36259004;M;26/09/2019 16:37;12690.9;3630;73.1;174.0
36259004;M;24/09/2019 17:00;12657.7;3434;81.0;154.7
36259004;M;22/09/2019 07:03;20053.9;9540;1573.7;145.4
36259004;M;21/09/2019 13:58;7010.8;2323;15.3;154.4
36259004;M;21/09/2019 11:04;9247.7;4130;835.9;159.6
36259004;M;17/09/2019 16:43;13315.8;3682;96.3;161.2
36259004;M;15/09/2019 08:52;13380.2;4046;96.7;162.1
36259004;M;12/09/2019 16:37;11311.6;3238;62.0;155.6
36259004;M;10/09/2019 16:19;11336.6;3491;60.5;145.0
36259004;M;07/09/2019 15:48;10315.4;2974;63.1;152.8
36259004;M;19/08/2019 17:43;10427.7;3403;197.0;149.8
36259004;M;17/08/2019 07:21;13089.5;3820;90.5;160.4
36259004;M;15/08/2019 06:55;17250.1;4925;125.6;159.7
36259004;M;11/08/2019 08:04;13784.9;4170;408.2;161.1
36259004;M;10/08/2019 07:32;13292.9;7010;1212.6;144.6
36259004;M;08/08/2019 12:58;28222.1;12600;1490.0;146.8
36259004;M;03/08/2019 07:14;33086.7;16009;1793.7;145.1
36259004;M;01/08/2019 14:24;15592.8;5347;472.2;155.6
36259004;M;01/08/2019 08:22;10950.9;5903;1092.1;148.2
36259004;M;31/07/2019 13:07;22262.4;8177;992.9;159.7
36259004;M;27/07/2019 06:32;27870.2;10735;1952.5;155.5
36259004;M;25/07/2019 11:03;12141.6;6613;461.0;144.6
36259004;M;25/07/2019 09:06;7802.4;5202;867.7;147.9
36259004;M;25/07/2019 07:45;4548.3;2778;339.1;138.3
36259004;M;24/07/2019 15:07;20722.5;10203;1493.9;149.0
36259004;M;19/07/2019 19:33;15452.0;4700;135.8;153.9
36259004;M;17/07/2019 17:56;10812.5;3133;65.1;149.0
36259004;M;14/07/2019 07:34;14010.7;8423;891.2;135.1
36259004;M;13/07/2019 16:21;12818.8;7740;888.0;139.6
36259004;M;10/07/2019 18:12;10296.1;3031;59.2;150.8
36259004;M;06/07/2019 04:00;52564.7;26584;3695.7;146.7
36259004;M;29/06/2019 05:35;32929.2;16487;1542.6;147.7
36259004;M;27/06/2019 16:41;13487.1;5877;736.1;147.1
36259004;M;26/06/2019 16:21;10085.9;3918;272.1;144.1
36259004;M;22/06/2019 08:08;31983.3;14234;1627.1;150.9
36259004;M;20/06/2019 08:49;11504.3;4451;786.0;155.0
36259004;M;19/06/2019 13:38;14586.1;5326;602.0;157.9
36259004;M;16/06/2019 08:09;13141.7;4244;588.6;160.1
36259004;M;14/06/2019 03:58;11127.3;3451;52.0;153.2
36259004;M;10/06/2019 14:49;14494.4;4244;69.5;155.9
36259004;M;08/06/2019 07:32;27221.6;10840;1992.7;156.5
